time,r_relay
-2.0,900
-1.0,80.2442560471645
0.0,15.585881181200087
1.0,1.1281079192452939
2.0,25.706322464568387
3.0,82.41292203645762
4.0,146.0271243890586
5.0,227.71354331910305
6.0,327.472178826591
7.0,445.3030309115221
8.0,581.206099573897
9.0,681.8482656696156
10.0,847.8716952943962
11.0,968.5941020317183
12.0,1164.7378926189047
13.0,1305.5405399978306
14.0,1531.8046915474233
15.0,1692.687579567953
16.0,1861.602563845124
17.0,2130.035220742085
18.0,2319.03044566086
19.0,2617.5834635202255
20.0,2826.6589290806055
21.0,3155.3323079023767
22.0,3502.077903301593
23.0,3743.281753888538
24.0,4120.147710250158
25.0,4381.431801478709
26.0,4788.418118802734
27.0,5213.476652704204
28.0,5656.607403183119
29.0,5962.068023823195
30.0,6435.319135264514
31.0,6926.642463283279
32.0,7436.038007879483
33.0,7963.505769053135
34.0,8509.045746804228
35.0,9072.657941132766
36.0,9458.439524339257
37.0,10254.098979522167
38.0,10663.976851498583
39.0,11293.853839944417
40.0,11941.80304496769
41.0,12383.809301970672
42.0,13061.87886795635
43.0,13523.965365600936
44.0,14232.15529254902
45.0,14958.417436074553
46.0,15452.632318745706
47.0,16209.014823233638
48.0,16723.309946546393
49.0,17509.81281199673
50.0,18314.38789402452
51.0,19137.035192629744
52.0,19977.75470781241
53.0,20836.546439572525
54.0,21713.41038791008
55.0,22608.346552825085
56.0,23521.35493431753
57.0,24766.81177987236
58.0,25401.588347034743
59.0,26695.237770129435
60.0,27686.55909012413
61.0,28695.95262669627
62.0,29723.418379845854
63.0,30768.95634957288
64.0,31832.566535877362
65.0,32914.24893875927
66.0,34014.00355821863
67.0,35131.830394255434
68.0,36267.72944686968
69.0,37421.70071606137
70.0,38593.74420183051
71.0,39783.85990417708
72.0,40992.0478231011
73.0,42218.30795860257
74.0,43045.85483592435
75.0,44302.23533238821
76.0,45576.688045429524
77.0,46869.21297504828
78.0,48179.81012124449
79.0,49508.47948401813
80.0,50855.22106336921
81.0,52220.03485929774
82.0,54067.898924100686
83.0,55003.87910088713
84.0,56899.93574322992
85.0,58343.062477660715
86.0,60295.343793800006
87.0,61283.53259625461
88.0,63284.00648993375
89.0,64805.4461628668
90.0,66862.14473034244
91.0,67902.5421584652
92.0,70007.43330348068
93.0,71607.18591491599
94.0,73225.01074292875
95.0,74860.9077875189
96.0,76514.87704868654
97.0,78748.28173380828
98.0,80444.41950032329
99.0,82158.6294834157
100.0,83890.9116830856
101.0,85641.2660993329
102.0,87409.69273215768
103.0,88598.68394102833
104.0,90397.23093481551
105.0,92213.85014518011
106.0,94664.12142923118
107.0,96522.90914494317
108.0,99029.40510279073
109.0,100930.3613238501
110.0,102849.38976148686
111.0,104786.49041570112
112.0,107397.40362488502
113.0,109376.67278444664
114.0,111374.01416058566
115.0,114065.24833233598
116.0,116104.75821382241
117.0,118162.34031188629
118.0,120237.99462652756
119.0,123033.64604961421
120.0,125151.4688696029
121.0,127287.36390616903
122.0,129441.33115931257
123.0,132341.39983373557
124.0,133803.48231533202
125.0,136751.7435672949
126.0,138984.0237589407
127.0,141234.37616716395
128.0,143502.80079196463
129.0,145789.2976333428
130.0,147323.66898124904
131.0,149640.2861835896
132.0,152757.22145694192
133.0,155116.00716462982
134.0,157492.8650888952
135.0,160690.12132481392
136.0,163109.14775442667
137.0,166362.62866414187
138.0,168823.82359910195
139.0,171303.0907506395
140.0,173800.4301187545
141.0,177158.32827980607
142.0,179697.8361532684
143.0,183111.9589881165
144.0,185693.63536692617
145.0,188293.38396231338
146.0,190911.20477427795
147.0,193547.09780282003
148.0,196201.06304793953
149.0,198873.10050963645
150.0,202463.92946213062
151.0,204271.39208276264
152.0,206997.64619419194
153.0,208825.1890554656
154.0,210660.76401299587
155.0,211581.56352785727
156.0,212504.3710667828
157.0,212504.3710667828
158.0,213429.18662977254
159.0,213429.18662977254
160.0,213429.18662977254
161.0,213429.18662977254
162.0,213429.18662977254
163.0,213429.18662977254
