time,r_relay
0.1,87.54152435697655
0.12,103.4089352172263
0.14,119.0251756152445
0.16,134.42639542021368
0.18,149.63962386637922
0.2,164.68584100555395
0.22,179.581807139338
0.24,194.34122118437358
0.26,208.9754901501041
0.28,223.49426043873012
0.3,237.90579657589726
0.32,252.2172585069887
0.34,266.43490930735635
0.36,280.56427385763993
0.38,294.6102621546394
0.4,308.57726659430966
0.42,322.4692397526879
0.44,336.2897573201979
0.46,350.04206957151314
0.48,363.72914386858906
0.5,377.35370006860404
0.52,390.91824025837036
0.54,404.4250739080793
0.56,417.87633929394246
0.58,431.2740218569359
0.6,444.619970026597
0.62,457.91590893288117
0.64,471.1634523471001
0.66,484.3641131289426
0.68,497.51931240615556
0.7,510.6303876734321
0.72,523.6985999650428
0.74,536.7251402299648
0.76,549.7111350173619
0.78,562.6576515632279
0.8,575.5657023550225
0.82,588.4362492395902
0.84,601.2702071300994
0.86,614.0684473597632
0.88,626.8318007234393
0.9,639.5610602425944
0.92,652.2569836843899
0.94,664.9202958616246
0.96,677.5516907368623
0.98,690.1518333511458
1.0,702.7213615952124
1.02,715.2608878389589
1.04,727.7710004330648
1.06,740.2522650950691
1.08,752.7052261908029
1.1,765.1304079208769
1.12,777.5283154208497
1.14,789.8994357827944
1.16,802.2442390051565
1.18,814.5631788770853
1.2,826.8566938027988
1.22,839.1252075709764
1.24,851.3691300736872
1.26,863.5888579789275
1.28,875.7847753604452
1.3,887.9572542881957
1.32,900.1066553824505
1.34,912.2333283343211
1.36,924.337612395197
1.38,936.4198368373898
1.4,948.4803213880699
1.42,960.5193766383991
1.44,972.5373044296116
1.46,984.5343982176432
1.48,996.5109434177756
1.5,1008.46721773065
1.52,1020.4034914508896
1.54,1032.3200277594776
1.56,1044.217083000942
1.58,1056.0949069463288
1.6,1067.9537430428516
1.62,1079.7938286510625
1.64,1091.615395270307
1.66,1103.4186687531799
1.68,1115.2038695096458
1.7,1126.971212701434
1.72,1138.7209084272938
1.74,1150.4531618996195
1.76,1162.1681736129658
1.78,1173.8661395048946
1.8,1185.5472511095963
1.82,1197.2116957046787
1.84,1208.8596564515074
1.86,1220.491312529442
1.88,1232.1068392642976
1.9,1243.7064082513375
1.92,1255.2901874730921
1.94,1266.8583414122654
1.96,1278.4110311599798
1.98,1289.9484145196136
2.0,1301.4706461064332
2.02,1312.977877443242
2.04,1324.470257052246
2.06,1335.9479305433076
2.08,1347.4110406987784
2.1,1358.859727555069
2.12,1370.2941284811068
2.14,1381.7143782538362
2.16,1393.1206091308945
2.18,1404.5129509206004
2.2,1415.891531049363
2.22,1427.2564746266544
2.24,1438.6079045076283
2.26,1449.945941353509
2.28,1461.2707036898385
2.3,1472.5823079626825
2.32,1483.8808685928827
2.34,1495.1664980284302
2.36,1506.4393067950602
2.38,1517.6994035451219
2.4,1528.9468951048077
2.42,1540.1818865198143
2.44,1551.4044810994833
2.46,1562.6147804595041
2.48,1573.8128845632248
2.5,1584.9988917616272
2.52,1596.172898832025
2.54,1607.3350010155395
2.56,1618.485292053381
2.58,1629.6238642220105
2.6,1640.750808367202
2.62,1651.8662139370608
2.64,1662.9701690140319
2.66,1674.06276034594
2.68,1685.144073376093
2.7,1696.214192272491
2.72,1707.273199956165
2.74,1718.3211781286861
2.76,1729.358207298871
2.78,1740.3843668087095
2.8,1751.3997348585515
2.82,1762.4043885315693
2.84,1773.3984038175297
2.86,1784.381855635895
2.88,1795.3548178582753
2.9,1806.3173633302629
2.92,1817.2695638926582
2.94,1828.2114904021191
2.96,1839.1432127512433
2.98,1850.0647998881132
3.0,1860.9763198353126
3.02,1871.8778397084357
3.04,1882.7694257341122
3.06,1893.6511432675456
3.08,1904.5230568096072
3.1,1915.3852300234776
3.12,1926.237725750857
3.14,1937.080606027769
3.16,1947.9139320999504
3.18,1958.737764437863
3.2,1969.552162751316
3.22,1980.357186003733
3.24,1991.1528924260583
3.26,2001.9393395303205
3.28,2012.7165841228677
3.3,2023.4846823172732
3.32,2034.243689546934
3.34,2044.9936605773628
3.36,2055.734649518185
3.38,2066.466709834853
3.4,2077.1898943600827
3.42,2087.9042553050135
3.44,2098.6098442701214
3.46,2109.306712255865
3.48,2119.994909673093
3.5,2130.674486353209
3.52,2141.345491558106
3.54,2152.007973989873
3.56,2162.661981800285
3.58,2173.307562600075
3.6,2183.9447634680073
3.62,2194.5736309597382
3.64,2205.1942111164917
3.66,2215.8065494735333
3.68,2226.4106910684695
3.7,2237.006680449361
3.72,2247.5945616826593
3.74,2258.1743783609772
3.76,2268.7461736106898
3.78,2279.309990099373
3.8,2289.86587004309
3.82,2300.4138552135155
3.84,2310.9539869449204
3.86,2321.486306141004
3.88,2332.010853281586
3.9,2342.5276684291653
3.92,2353.0367912353354
3.94,2363.5382609470785
3.96,2374.032116412924
3.98,2384.518396088986
4.0,2394.9971380448824
4.02,2405.468379969528
4.04,2415.9321591768207
4.06,2426.3885126112086
4.08,2436.837476853149
4.1,2447.2790881244646
4.12,2457.7133822935916
4.14,2468.1403948807206
4.16,2478.5601610628537
4.18,2488.9727156787426
4.2,2499.378093233756
4.22,2509.776327904629
4.24,2520.1674535441507
4.26,2530.5515036857355
4.28,2540.9285115479292
4.3,2551.298510038819
4.32,2561.6615317603673
4.34,2572.0176090126633
4.36,2582.3667737980973
4.38,2592.709057825456
4.4,2603.044492513943
4.42,2613.373108997134
4.44,2623.694938126847
4.46,2634.0100104769517
4.48,2644.3183563471152
4.5,2654.620005766463
4.52,2664.914988497196
4.54,2675.2033340381304
4.56,2685.4850716281753
4.58,2695.7602302497594
4.6,2706.0288386321845
4.62,2716.2909252549325
4.64,2726.5465183509045
4.66,2736.7956459096144
4.68,2747.0383356803204
4.7,2757.274615175103
4.72,2767.5045116718998
4.74,2777.7280522174738
4.76,2787.9452636303427
4.78,2798.156172503658
4.8,2808.3608052080344
4.82,2818.559187894326
4.84,2828.7513464963677
4.86,2838.9373067336614
4.88,2849.1170941140263
4.9,2859.2907339361973
4.92,2869.458251292389
4.94,2879.6196710708123
4.96,2889.7750179581494
4.98,2899.9243164420013
5.0,2910.0675908132735
5.02,2920.204865168546
5.04,2930.3361634123917
5.06,2940.461509259661
5.08,2950.5809262377397
5.1,2960.694437688751
5.12,2970.8020667717437
5.14,2980.903836464834
5.16,2990.9997695673214
5.18,3001.0898887017647
5.2,3011.174216316025
5.22,3021.2527746852934
5.24,3031.3255859140627
5.26,3041.3926719380925
5.28,3051.4540545263258
5.3,3061.5097552827897
5.32,3071.559795648462
5.34,3081.604196903106
5.36,3091.642980167088
5.38,3101.6761664031574
5.4,3111.7037764182032
5.42,3121.725830864994
5.44,3131.7423502438724
5.46,3141.753354904444
5.48,3151.758865047235
5.5,3161.7589007253177
5.52,3171.753481845925
5.54,3181.7426281720323
5.56,3191.726359323922
5.58,3201.704694780723
5.6,3211.6776538819254
5.62,3221.645255828883
5.64,3231.6075196862816
5.66,3241.5644643835954
5.68,3251.5161087165225
5.7,3261.4624713483945
5.72,3271.4035708115725
5.74,3281.3394255088187
5.76,3291.270053714654
5.78,3301.19547357669
5.8,3311.115703116949
5.82,3321.030760233165
5.84,3330.940662700061
5.86,3340.845428170614
5.88,3350.7450741773023
5.9,3360.639618133337
5.92,3370.529077333871
5.94,3380.413468957198
5.96,3390.292810065931
5.98,3400.1671176081704
6.0,3410.036408418649
6.02,3419.9006992198697
6.04,3429.7600066232167
6.06,3439.614347130071
6.08,3449.4637371328886
6.1,3459.3081929162813
6.12,3469.147730658076
6.14,3478.9823664303613
6.16,3488.81211620052
6.18,3498.636995832253
6.2,3508.4570210865804
6.22,3518.2722076228383
6.24,3528.08257099966
6.26,3537.8881266759417
6.28,3547.688890011804
6.3,3557.484876269525
6.32,3567.2761006144865
6.34,3577.062578116082
6.36,3586.8443237486317
6.38,3596.621352392274
6.4,3606.3936788338583
6.42,3616.1613177678137
6.44,3625.924283797012
6.46,3635.6825914336314
6.48,3645.436255099983
6.5,3655.1852891293543
6.52,3664.929707766828
6.54,3674.669525170091
6.56,3684.4047554102426
6.58,3694.1354124725767
6.6,3703.861510257373
6.62,3713.583062580669
6.64,3723.300083175015
6.66,3733.012585690242
6.68,3742.7205836941926
6.7,3752.42409067347
6.72,3762.123120034157
6.74,3771.8176851025405
6.76,3781.5077991258154
6.78,3791.1934752727925
6.8,3800.8747266345927
6.82,3810.551566225326
6.84,3820.224006982775
6.86,3829.8920617690615
6.88,3839.5557433713116
6.9,3849.2150645023016
6.92,3858.8700378011176
6.94,3868.520675833783
6.96,3878.166991093894
6.98,3887.808996003246
7.0,3897.4467029124467
7.02,3907.080124101531
7.04,3916.7092717805604
7.06,3926.3341580902215
7.08,3935.954795102414
7.1,3945.571194820837
7.12,3955.1833691815573
7.14,3964.791330053592
7.16,3974.395089239459
7.18,3983.994658475743
7.2,3993.5900494336433
7.22,4003.181273719519
7.24,4012.768342875427
7.26,4022.3512683796557
7.28,4031.9300616472538
7.3,4041.5047340305464
7.32,4051.075296819656
7.34,4060.6417612430123
7.36,4070.2041384678496
7.38,4079.762439600714
7.4,4089.3166756879527
7.42,4098.866857716202
7.44,4108.412996612869
7.46,4117.955103246616
7.48,4127.493188427826
7.5,4137.027262909068
7.52,4146.5573373855705
7.54,4156.083422495668
7.56,4165.605528821258
7.58,4175.123666888252
7.6,4184.6378471670105
7.62,4194.148080072794
7.64,4203.654375966182
7.66,4213.156745153515
7.68,4222.655197887312
7.7,4232.149744366694
7.72,4241.6403947377985
7.74,4251.127159094195
7.76,4260.610047477285
7.78,4270.089069876711
7.8,4279.564236230762
7.82,4289.035556426752
7.84,4298.5030403014225
7.86,4307.966697641332
7.88,4317.426538183228
7.9,4326.882571614439
7.92,4336.334807573239
7.94,4345.783255649226
7.96,4355.227925383684
7.98,4364.668826269955
8.0,4374.105967753797
8.02,4383.539359233731
8.04,4392.96901006141
8.06,4402.394929541956
8.08,4411.817126934316
8.1,4421.235611451596
8.12,4430.65039226141
8.14,4440.061478486207
8.16,4449.468879203612
8.18,4458.8726034467445
8.2,4468.272660204563
8.22,4477.66905842217
8.24,4487.061807001137
8.26,4496.4509147998315
8.28,4505.836390633715
8.3,4515.2182432756745
8.32,4524.596481456301
8.34,4533.971113864226
8.36,4543.3421491464
8.38,4552.709595908407
8.4,4562.073462714745
8.42,4571.433758089138
8.44,4580.7904905148125
8.46,4590.143668434792
8.48,4599.4933002521775
8.5,4608.839394330433
8.52,4618.181958993667
8.54,4627.521002526906
8.56,4636.856533176374
8.58,4646.188559149756
8.6,4655.517088616472
8.62,4664.842129707952
8.64,4674.163690517891
8.66,4683.4817791025025
8.68,4692.796403480803
8.7,4702.107571634846
8.72,4711.415291509991
8.74,4720.719571015145
8.76,4730.020418023027
8.78,4739.317840370397
8.8,4748.611845858322
8.82,4757.902442252403
8.84,4767.189637283023
8.86,4776.473438645591
8.88,4785.75385400077
8.9,4795.030890974713
8.92,4804.304557159301
8.94,4813.574860112373
8.96,4822.841807357948
8.98,4832.105406386455
9.0,4841.365664654963
9.02,4850.622589587395
9.04,4859.87618857475
9.06,4869.126468975328
9.08,4878.373438114938
9.1,4887.617103287119
9.12,4896.857471753349
9.14,4906.094550743259
9.16,4915.328347454835
9.18,4924.558869054643
9.2,4933.786122678007
