,clTrackID,timepoint,rel_time,rel_r,r_squared,circle_radius,radius_velocity,radius_acceleration,wave_centroid,cell_density,ca_avg_sig,split,trackable,drug_name,drug_dose,volunteer_ID,wave_ID,image_ID,real_time
0,2,102,0,0.0,0.0,75.62299949218978,3.441163190545487,0.2453039043655642,[179.03351361 178.30490927],4230.318331454441,388.9295047635902,0.0,True,,,17,33-2,33,0.0
1,2,103,1,17.20581595272742,296.04010259912985,92.8288154449172,4.667682712373308,0.1250859419359471,[179.17574305 169.56570297],4219.067484828233,398.43476978438486,0.0,True,,,17,33-2,33,5.0
2,2,104,2,46.67682712373306,2178.726190338864,122.29982661592284,4.692022609904958,-0.1811203344484254,[183.09827037 175.40360763],4212.035705686852,405.78090434474825,0.0,True,,,17,33-2,33,10.0
3,2,105,3,64.12604205177702,4112.149269226275,139.7490415439668,2.8564793678890537,-0.2265400271669264,[185.24782531 174.38085548],4226.099263969613,410.2252897973631,0.0,True,,,17,33-2,33,15.0
4,2,106,4,75.24162080262361,5661.3015010058025,150.8646202948134,2.426622338235694,-0.0415546142181048,[187.69124047 175.71505318],4220.473840656509,414.2567029466419,0.0,True,,,17,33-2,33,20.0
5,2,107,5,88.39226543413396,7813.192588578393,164.01526492632374,2.4409332257080054,-0.0464232587891174,[188.52138158 177.55427632],4227.505619797889,415.5804206117453,0.0,True,,,17,33-2,33,25.0
6,2,108,6,99.65095305970367,9930.312445707264,175.27395255189344,1.9623897503445191,-0.0583107371272754,[189.94956557 177.84552629],4207.8166382020245,417.880217089933,0.0,True,,,17,33-2,33,30.0
7,2,109,7,108.01616293757915,11667.491455757649,183.63916242976893,1.8578258544352508,-0.0091368744215404,[191.83808458 178.64473832],4223.286552313061,417.14013509128984,1.0,True,,,17,33-2,33,35.0
8,2,110,8,118.22921160405618,13978.146476516691,193.85221109624595,1.871021006129115,-0.0279707390497583,[192.13429224 178.56429691],4214.848417343404,416.3680205291567,1.0,True,,,17,33-2,33,40.0
9,2,111,9,126.7263729988703,16059.573613448803,202.34937249106008,1.5781184639376675,-0.0676031181439791,[192.39752779 178.88647237],4189.534012434436,413.46933899654897,1.0,True,,,17,33-2,33,45.0
10,2,112,10,134.01039624343287,17958.786301321885,209.63339573562263,1.194989824689324,-0.0563989032963519,[191.89577297 178.11795213],4221.880196484785,411.1975636374362,1.0,True,,,17,33-2,33,50.0
11,2,113,11,138.67627124576353,19231.10820662858,214.29927073795332,1.0141294309741482,-0.0293713161816697,[192.25797888 179.41519236],4189.534012434436,406.9168805120491,1.0,True,,,17,33-2,33,55.0
12,2,114,12,144.15169055317432,20779.709889338126,219.7746900453641,0.9012766628726268,-0.0560314910037408,[191.99465776 179.4474979 ],4202.19121488892,403.2250243341297,1.0,True,,,17,33-2,33,60.0
13,2,115,13,147.68903787448983,21812.05190829249,223.3120373666796,0.45381452093674,-0.0619543734167223,[192.01487375 178.75110636],4199.378503232368,399.00097336518894,1.0,True,,,17,33-2,33,65.0
14,2,116,14,148.68983576254175,22108.66725909164,224.3128352547315,0.2817329287054037,-0.0174212966676384,[190.87723216 178.49354683],4178.283165808227,394.8693036014512,1.0,True,,,17,33-2,33,70.0
15,2,117,15,150.50636716154384,22652.16655616544,226.12936665373363,0.2796015542603555,-0.0043935655528974,[190.17422406 178.22357402],4185.314944949607,391.9104209067044,1.0,True,,,17,33-2,33,75.0
16,2,118,16,151.48585130514527,22947.963145644582,227.10885079733507,0.2377972731764288,9.616337221418637e-06,[189.2638142  177.58493401],4167.032319182018,390.0836209185028,1.0,True,,,17,33-2,33,80.0
17,2,119,17,152.88433989330815,23373.621384612576,228.50733938549791,0.2796977176325697,0.0083800888912281,[188.47163498 177.18963963],4178.283165808227,385.7028286582308,1.0,True,,,17,33-2,33,85.0
18,6,163,0,0.0,0.0,44.76554093133787,2.699467858254631,0.0315406143093579,[234.53095238 192.23095238],3348.533227125341,316.4311817493783,0.0,True,,,17,34-6,34,0.0
19,6,164,1,13.497339291273157,182.17816794374616,58.262880222611024,2.857170929801421,0.0732613901385074,[233.76153846 195.33846154],3354.158650438445,319.6937326557826,0.0,True,,,17,34-6,34,5.0
20,6,165,2,28.571709298014213,816.3425722102318,73.33725022935208,3.4320817596397055,0.1320365228956851,[231.7289916  196.07142857],3362.596785408102,324.0252820124698,0.0,True,,,17,34-6,34,10.0
21,6,166,3,47.81815688767021,2286.5761281338423,92.58369781900808,4.177536158758272,0.0239541462879547,[230.39422732 196.88750736],3323.218822216372,327.17684794752586,0.0,True,,,17,34-6,34,15.0
22,6,167,4,70.34707088559693,4948.7103821832,115.1126118169348,3.6716232225192527,-0.0582636845450964,[229.43277923 199.16361441],3330.250601357752,327.7069412909504,0.0,True,,,17,34-6,34,20.0
23,6,168,5,84.53438911286274,7146.062942684886,129.2999300442006,3.5948993133073075,0.020240702406501,[230.01949951 200.78038283],3320.40611055982,331.15196237431076,0.0,True,,,17,34-6,34,25.0
24,6,169,6,106.29606401867001,11298.853225861192,151.06160495000788,3.874030246584263,0.0544162407105265,[231.93591594 198.85176602],3299.310773135678,332.4444084045122,0.0,True,,,17,34-6,34,30.0
25,6,170,7,123.27469157870537,15196.649583824934,168.04023251004324,4.139061720412573,0.0395780304338651,[231.26378813 200.31254944],3323.218822216372,335.6833711752622,0.0,True,,,17,34-6,34,35.0
26,6,171,8,147.68668122279576,21811.35581060369,192.4522221541336,4.269810550922915,0.0164494432372641,[231.68896596 199.72780091],3311.967975590163,336.92255018560564,0.0,True,,,17,34-6,34,40.0
27,6,172,9,165.9727970879345,27546.96937319268,210.7383380192724,4.303556152785214,-0.0058143954183528,[229.32634596 202.90700897],3324.625178044648,337.4184236133636,0.0,True,,,17,34-6,34,45.0
28,6,173,10,190.72224275064787,36374.97387983705,235.48778368198575,4.211666596739386,-0.0413311312501298,[230.3926677  201.70324071],3326.031533872924,339.28085919198475,0.0,True,,,17,34-6,34,50.0
29,6,174,11,208.0894630553284,43301.22463465488,252.85500398666625,3.8902448402839154,-0.0800286657920028,[228.93169776 204.47707231],3302.12348479223,337.74748621472594,1.0,True,,,17,34-6,34,55.0
30,6,175,12,229.62469115348705,52727.49878733431,274.3902320848249,3.411379938819357,-0.2111391361246168,[229.6998679  203.81418888],3247.2756074894637,337.2194831873716,1.0,True,,,17,34-6,34,60.0
31,6,176,13,242.20326244352196,58662.42033828558,286.9688033748598,1.7788534790377468,-0.2864021441747684,[231.75444993 202.67286753],3295.0917056508497,334.4359210004685,1.0,True,,,17,34-6,34,65.0
32,6,177,14,247.41322594386452,61213.30437194975,292.17876687520237,0.547358497071673,-0.1726129184962911,[233.58520324 203.64308559],3275.402724054985,330.1516019749883,1.0,True,,,17,34-6,34,70.0
