,Density,Ca-peaks
26,9838.083466675378,2
27,9589.821426573648,3
28,9954.607160667018,3
33,3433.1413740863572,5
34,2914.357260874992,5
35,3558.1068441230486,7
36,4241.803954920473,5
37,5834.333916050584,3
38,5070.291347455669,5
39,6947.1814565293025,4
40,7259.5534605052035,2
41,11512.220277364926,3
42,9374.676452157406,3
44,12450.556277704998,3
45,4061.40467944432,2
46,3081.9018861395984,3
47,4439.8106520739,5
48,4700.375494330239,5
49,6158.836647830338,3
50,6032.826740039448,5
51,5209.565082753185,5
52,5733.947311397494,7
53,11821.778151093094,2
54,10518.793288659097,2
56,11255.449954578567,3
57,2808.865501223028,4
58,2486.7069913635637,5
59,3735.2906553917087,5
60,4003.8122328420254,7
61,6145.7980216730875,3
62,4957.314746105114,3
63,5901.757781462941,5
64,7059.2767581110365,4
65,8041.675973653268,5
66,7822.5373283195295,4
67,5947.27505262171,4
68,6538.464059516305,4
69,2812.193870772485,8
70,2669.245984326075,9
71,3322.4841693104895,6
72,3490.3247844384528,5
73,4442.972596517291,3
74,4263.316890122397,2
75,3631.7086741120224,4
76,3998.7691412071526,3
77,12899.345328995367,2
78,11642.787409312506,1
79,12391.79468466829,2
80,12789.89215348113,2
81,2499.169314855083,3
82,3115.1233772252845,2
83,2493.9985500142648,9
84,2093.916826792344,8
85,7429.520189159962,4
86,7100.763457087643,3
87,8136.203796744605,4
88,8004.485832704541,5
