Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31
0.405,0.5265,1.352,0.7695,3.179,3.6125,4.046,4.4795,4.913,5.3465,5.78,6.2135,6.647,7.0805,7.514,7.9475,8.380999999999998,8.8145,9.248,9.6815,10.115,10.5485,10.982,11.4155,11.849,12.2825,12.716,13.1495,13.582999999999998,14.0165,14.45
0.125,1.8785,1.352,0.7695,1.859,2.1125,2.3660000000000005,2.6195,4.913,5.3465,5.78,6.2135,6.647,7.0805,7.514,7.9475,8.380999999999998,8.8145,9.248,9.6815,10.115,10.5485,10.982,11.4155,11.849,12.2825,12.716,13.1495,13.582999999999998,14.0165,14.45
0.125,0.1625,1.352,1.6055,0.891,2.1125,2.3660000000000005,2.6195,2.873,3.1265,5.78,6.2135,6.647,7.0805,7.514,7.9475,8.380999999999998,8.8145,9.248,9.6815,10.115,10.5485,10.982,11.4155,11.849,12.2825,12.716,13.1495,13.582999999999998,14.0165,14.45
0.845,0.1625,1.352,1.6055,1.859,2.1125,2.3660000000000005,2.6195,2.873,3.1265,3.38,6.2135,6.647,7.0805,7.514,7.9475,8.380999999999998,8.8145,9.248,9.6815,10.115,10.5485,10.982,11.4155,11.849,12.2825,12.716,13.1495,13.582999999999998,14.0165,14.45
0.5,3.146,2.592,1.862,1.1,2.45,2.7440000000000007,3.038,3.332,3.626,3.92,4.214,7.452,7.938,8.424,8.91,9.395999999999999,9.882,10.368,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.405,3.146,3.872,1.862,2.156,2.45,2.7440000000000007,3.038,3.332,3.626,3.92,4.214,4.508,7.938,8.424,8.91,9.395999999999999,9.882,10.368,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.98,1.274,0.8,1.862,1.1,1.25,2.7440000000000007,1.55,3.332,3.626,3.92,4.214,4.508,7.938,8.424,8.91,9.395999999999999,9.882,10.368,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.65,2.592,0.95,2.156,2.45,2.7440000000000007,3.038,3.332,3.626,3.92,4.214,4.508,4.802,8.424,8.91,9.395999999999999,9.882,10.368,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.5,0.234,2.592,3.078,2.156,2.45,1.4000000000000001,3.038,3.332,3.626,3.92,4.214,4.508,4.802,8.424,8.91,9.395999999999999,9.882,10.368,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.18,0.65,0.288,0.95,1.1,2.45,2.7440000000000007,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,8.91,9.395999999999999,9.882,10.368,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
0.5,0.234,2.592,3.078,2.156,1.25,2.7440000000000007,3.038,3.332,3.626,3.92,4.214,4.508,4.802,5.096,8.91,9.395999999999999,9.882,10.368,10.854,11.34,11.826,12.312,12.798,13.284,13.77,14.256,14.742,15.227999999999998,15.714,16.2
